Election,Precinct,TOTPOP,NH_WHITE,NH_BLACK,NH_ASIAN,HISP,num_black,num_white,num_asian,num_hispanic,num_undetermined,black_avail,white_avail,asian_avail,hisp_avail,black_thresh,white_thresh,asian_thresh,hispanic_thresh,How many surpass?
MY14,811,0,0,0,0,0,0,4,1,0,0,6,6,3,0,Doesn't Surpass,Doesn't Surpass,Doesn't Surpass,Doesn't Surpass,0
CC3,265,1763,163,151,137,1277,4,1,0,0,0,4,1,0,0,Doesn't Surpass,Doesn't Surpass,Doesn't Surpass,Surpasses,1
CCL,265,1763,163,151,137,1277,2,2,0,1,0,2,2,0,1,Doesn't Surpass,Doesn't Surpass,Doesn't Surpass,Surpasses,1
CCL,327,4218,234,518,572,2770,2,2,0,1,0,2,2,0,1,Doesn't Surpass,Doesn't Surpass,Doesn't Surpass,Surpasses,1
CCL,335,4400,363,265,457,3230,2,2,0,1,0,2,2,0,1,Doesn't Surpass,Doesn't Surpass,Doesn't Surpass,Surpasses,1
CCL,336,2560,329,322,208,1636,2,2,0,1,0,2,2,0,1,Doesn't Surpass,Doesn't Surpass,Doesn't Surpass,Surpasses,1
MY14,265,1763,163,151,137,1277,0,4,1,0,0,6,6,3,0,Doesn't Surpass,Doesn't Surpass,Doesn't Surpass,Surpasses,1
MY14,327,4218,234,518,572,2770,0,4,1,0,0,6,6,3,0,Doesn't Surpass,Doesn't Surpass,Doesn't Surpass,Surpasses,1
MY14,335,4400,363,265,457,3230,0,4,1,0,0,6,6,3,0,Doesn't Surpass,Doesn't Surpass,Doesn't Surpass,Surpasses,1
MY14,336,2560,329,322,208,1636,0,4,1,0,0,6,6,3,0,Doesn't Surpass,Doesn't Surpass,Doesn't Surpass,Surpasses,1
MY14,843,1778,27,239,146,1334,0,4,1,0,0,6,6,3,0,Doesn't Surpass,Doesn't Surpass,Doesn't Surpass,Surpasses,1
CC3,255,2061,114,75,1815,34,4,1,0,0,0,4,1,0,0,Doesn't Surpass,Doesn't Surpass,Surpasses,Doesn't Surpass,1
CC5,284,1836,95,57,1616,23,0,1,0,3,1,0,1,0,3,Doesn't Surpass,Doesn't Surpass,Surpasses,Doesn't Surpass,1
CCL,255,2061,114,75,1815,34,2,2,0,1,0,2,2,0,1,Doesn't Surpass,Doesn't Surpass,Surpasses,Doesn't Surpass,1
CCL,284,1836,95,57,1616,23,2,2,0,1,0,2,2,0,1,Doesn't Surpass,Doesn't Surpass,Surpasses,Doesn't Surpass,1
CCL,286,939,22,63,837,13,2,2,0,1,0,2,2,0,1,Doesn't Surpass,Doesn't Surpass,Surpasses,Doesn't Surpass,1
MY14,255,2061,114,75,1815,34,0,4,1,0,0,6,6,3,0,Doesn't Surpass,Doesn't Surpass,Surpasses,Doesn't Surpass,1
MY14,284,1836,95,57,1616,23,0,3,2,0,0,6,6,3,0,Doesn't Surpass,Doesn't Surpass,Surpasses,Doesn't Surpass,1
MY14,286,939,22,63,837,13,0,4,1,0,0,6,6,3,0,Doesn't Surpass,Doesn't Surpass,Surpasses,Doesn't Surpass,1
2013-mayor-cvr,MINNEAPOLIS W-1 P-01,1382,900,162,57,129,1,4,0,0,0,4,27,0,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
2013-mayor-cvr,MINNEAPOLIS W-1 P-02,4218,3366,229,183,286,1,4,0,0,0,4,27,0,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
2013-mayor-cvr,MINNEAPOLIS W-1 P-03,3380,2803,151,80,230,1,4,0,0,0,4,27,0,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
2013-mayor-cvr,MINNEAPOLIS W-1 P-04,2990,2372,144,69,243,1,4,0,0,0,4,27,0,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
2013-mayor-cvr,MINNEAPOLIS W-1 P-05,3144,2372,258,131,258,1,4,0,0,0,4,27,0,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
2013-mayor-cvr,MINNEAPOLIS W-1 P-06,3508,2332,375,120,458,1,4,0,0,0,4,27,0,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
2013-mayor-cvr,MINNEAPOLIS W-1 P-07,3318,2372,191,447,123,1,4,0,0,0,4,27,0,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
2013-mayor-cvr,MINNEAPOLIS W-1 P-08,2179,1328,268,55,361,1,4,0,0,0,4,27,0,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
2013-mayor-cvr,MINNEAPOLIS W-10 P-01,2898,2414,143,108,119,1,4,0,0,0,4,27,0,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
2013-mayor-cvr,MINNEAPOLIS W-10 P-02,3252,2722,127,142,131,1,4,0,0,0,4,27,0,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
2013-mayor-cvr,MINNEAPOLIS W-10 P-03A,2457,2190,54,92,72,1,4,0,0,0,4,27,0,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
2013-mayor-cvr,MINNEAPOLIS W-10 P-04,2584,2136,115,98,114,1,4,0,0,0,4,27,0,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
2013-mayor-cvr,MINNEAPOLIS W-10 P-05A,2128,1807,134,37,69,1,4,0,0,0,4,27,0,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
2013-mayor-cvr,MINNEAPOLIS W-10 P-06,3063,2494,206,90,156,1,4,0,0,0,4,27,0,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
2013-mayor-cvr,MINNEAPOLIS W-10 P-07,2807,1888,372,134,271,1,4,0,0,0,4,27,0,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
2013-mayor-cvr,MINNEAPOLIS W-10 P-08,2199,1487,365,52,209,1,4,0,0,0,4,27,0,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
2013-mayor-cvr,MINNEAPOLIS W-11 P-01,2267,1981,67,67,75,1,4,0,0,0,4,27,0,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
2013-mayor-cvr,MINNEAPOLIS W-11 P-02,3177,2691,209,45,126,1,4,0,0,0,4,27,0,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
2013-mayor-cvr,MINNEAPOLIS W-11 P-04,3608,2941,243,93,171,1,4,0,0,0,4,27,0,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
2013-mayor-cvr,MINNEAPOLIS W-11 P-05,1898,1674,67,46,47,1,4,0,0,0,4,27,0,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
2013-mayor-cvr,MINNEAPOLIS W-11 P-06,3176,2807,117,60,91,1,4,0,0,0,4,27,0,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
2013-mayor-cvr,MINNEAPOLIS W-11 P-07,3315,2657,223,104,208,1,4,0,0,0,4,27,0,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
2013-mayor-cvr,MINNEAPOLIS W-11 P-08,3045,2421,193,63,215,1,4,0,0,0,4,27,0,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
2013-mayor-cvr,MINNEAPOLIS W-11 P-10,2488,1940,224,53,188,1,4,0,0,0,4,27,0,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
2013-mayor-cvr,MINNEAPOLIS W-12 P-01,3663,2514,381,101,398,1,4,0,0,0,4,27,0,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
2013-mayor-cvr,MINNEAPOLIS W-12 P-02,2945,2368,187,58,155,1,4,0,0,0,4,27,0,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
2013-mayor-cvr,MINNEAPOLIS W-12 P-03,3357,2761,183,86,181,1,4,0,0,0,4,27,0,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
2013-mayor-cvr,MINNEAPOLIS W-12 P-04,1705,1385,99,38,101,1,4,0,0,0,4,27,0,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
2013-mayor-cvr,MINNEAPOLIS W-12 P-05,2225,1817,118,51,150,1,4,0,0,0,4,27,0,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
2013-mayor-cvr,MINNEAPOLIS W-12 P-06,1912,1626,91,41,73,1,4,0,0,0,4,27,0,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
2013-mayor-cvr,MINNEAPOLIS W-12 P-07,399,367,23,1,1,1,4,0,0,0,4,27,0,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
2013-mayor-cvr,MINNEAPOLIS W-12 P-09,2461,1761,164,71,308,1,4,0,0,0,4,27,0,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
2013-mayor-cvr,MINNEAPOLIS W-12 P-10,2830,2111,207,56,297,1,4,0,0,0,4,27,0,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
2013-mayor-cvr,MINNEAPOLIS W-13 P-01,4132,3508,211,160,132,1,4,0,0,0,4,27,0,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
2013-mayor-cvr,MINNEAPOLIS W-13 P-02,1651,1482,18,52,50,1,4,0,0,0,4,27,0,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
2013-mayor-cvr,MINNEAPOLIS W-13 P-03,2308,2044,56,71,69,1,4,0,0,0,4,27,0,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
2013-mayor-cvr,MINNEAPOLIS W-13 P-04,2491,2222,72,51,69,1,4,0,0,0,4,27,0,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
2013-mayor-cvr,MINNEAPOLIS W-13 P-05,2120,1928,43,60,54,1,4,0,0,0,4,27,0,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
2013-mayor-cvr,MINNEAPOLIS W-13 P-06,2787,2540,44,63,61,1,4,0,0,0,4,27,0,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
2013-mayor-cvr,MINNEAPOLIS W-13 P-07,3668,3279,123,97,95,1,4,0,0,0,4,27,0,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
2013-mayor-cvr,MINNEAPOLIS W-13 P-08,2970,2500,178,110,86,1,4,0,0,0,4,27,0,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
2013-mayor-cvr,MINNEAPOLIS W-13 P-09,3700,3046,260,114,156,1,4,0,0,0,4,27,0,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
2013-mayor-cvr,MINNEAPOLIS W-2 P-01,2399,1421,324,52,377,1,4,0,0,0,4,27,0,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
2013-mayor-cvr,MINNEAPOLIS W-2 P-02,1988,1614,139,53,93,1,4,0,0,0,4,27,0,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
2013-mayor-cvr,MINNEAPOLIS W-2 P-03,3171,2313,436,205,85,1,4,0,0,0,4,27,0,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
2013-mayor-cvr,MINNEAPOLIS W-2 P-04,2507,1950,110,294,69,1,4,0,0,0,4,27,0,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
2013-mayor-cvr,MINNEAPOLIS W-2 P-05,4260,2782,608,620,110,1,4,0,0,0,4,27,0,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
2013-mayor-cvr,MINNEAPOLIS W-2 P-06,1558,1297,63,109,34,1,4,0,0,0,4,27,0,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
2013-mayor-cvr,MINNEAPOLIS W-2 P-07,1549,1114,151,144,65,1,4,0,0,0,4,27,0,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
2013-mayor-cvr,MINNEAPOLIS W-2 P-08,3503,2942,114,113,185,1,4,0,0,0,4,27,0,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
2013-mayor-cvr,MINNEAPOLIS W-2 P-09,1972,1453,204,176,55,1,4,0,0,0,4,27,0,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
2013-mayor-cvr,MINNEAPOLIS W-2 P-10,4522,3537,73,685,90,1,4,0,0,0,4,27,0,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
2013-mayor-cvr,MINNEAPOLIS W-3 P-01,4429,3385,128,695,101,1,4,0,0,0,4,27,0,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
2013-mayor-cvr,MINNEAPOLIS W-3 P-02,3208,2337,129,401,240,1,4,0,0,0,4,27,0,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
2013-mayor-cvr,MINNEAPOLIS W-3 P-03,3635,2789,266,293,142,1,4,0,0,0,4,27,0,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
2013-mayor-cvr,MINNEAPOLIS W-3 P-04,1400,974,208,41,99,1,4,0,0,0,4,27,0,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
2013-mayor-cvr,MINNEAPOLIS W-3 P-05,2243,1784,143,84,146,1,4,0,0,0,4,27,0,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
2013-mayor-cvr,MINNEAPOLIS W-3 P-07,1856,1591,70,100,48,1,4,0,0,0,4,27,0,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
